lat_deg,lon_deg,dose_pred_uSvph
10.0,-140.0,1.1136744
10.0,-130.0,1.1364636
10.0,-120.0,1.1600014
10.0,-110.0,1.2116456
10.0,-100.0,1.272762
10.0,-90.0,1.3126309
10.0,-80.0,1.2820045
10.0,-70.0,1.2517408
10.0,-60.0,1.1996714
10.0,-50.0,1.170121
10.0,-40.0,1.1315016
10.0,-30.0,1.1207929
10.0,-20.0,1.1134939
10.0,-10.0,1.0787737
10.0,0.0,1.0724481
10.0,10.0,1.043009
10.0,20.0,1.0189544
10.0,30.0,1.0180691
10.0,40.0,1.0183936
10.0,50.0,0.9869106
10.0,60.0,0.95698345
10.0,70.0,0.94950634
10.0,80.0,0.93964803
10.0,90.0,0.93363637
10.0,100.0,0.92909807
10.0,110.0,0.94880676
10.0,120.0,0.9494204
10.0,130.0,0.9670578
10.0,140.0,0.9949983
10.0,150.0,1.0035043
10.0,160.0,1.0152006
10.0,170.0,1.0316443
15.0,-179.99999,1.0893257
15.0,-170.0,1.0989616
15.0,-160.0,1.1112288
15.0,-150.0,1.1206218
15.0,-140.0,1.1444578
15.0,-130.0,1.1743462
15.0,-120.0,1.2288843
15.0,-110.0,1.3032115
15.0,-100.0,1.428547
15.0,-90.0,1.5068924
15.0,-80.0,1.4819273
15.0,-70.0,1.3594933
15.0,-60.0,1.2492021
15.0,-50.0,1.1816916
15.0,-40.0,1.1327455
15.0,-30.0,1.1243123
15.0,-20.0,1.1078585
15.0,-10.0,1.0733836
15.0,0.0,1.0518625
15.0,10.0,1.0543882
15.0,20.0,1.0355711
15.0,30.0,1.0156432
15.0,40.0,1.0097517
15.0,50.0,0.99135345
15.0,60.0,0.97834903
15.0,70.0,0.9672913
15.0,80.0,0.94951034
15.0,90.0,0.9466452
15.0,100.0,0.94869965
15.0,110.0,0.94855994
15.0,120.0,0.9638585
15.0,130.0,0.9819332
15.0,140.0,0.9969688
15.0,150.0,1.0155032
15.0,160.0,1.03713
15.0,170.0,1.063193
20.0,-179.99999,1.123983
20.0,-170.0,1.1343158
20.0,-160.0,1.1522481
20.0,-150.0,1.1695685
20.0,-140.0,1.2058158
20.0,-130.0,1.2481496
20.0,-120.0,1.3232318
20.0,-110.0,1.4528677
20.0,-100.0,1.6067183
20.0,-90.0,1.6940072
20.0,-80.0,1.7203653
20.0,-70.0,1.5864154
20.0,-60.0,1.3788303
20.0,-50.0,1.2441818
20.0,-40.0,1.185795
20.0,-30.0,1.1570468
20.0,-20.0,1.1345661
20.0,-10.0,1.1098821
20.0,0.0,1.0790193
20.0,10.0,1.0817696
20.0,20.0,1.0677978
20.0,30.0,1.0479323
20.0,40.0,1.020796
20.0,50.0,1.0279493
20.0,60.0,1.0238497
20.0,70.0,0.9952153
20.0,80.0,0.97476834
20.0,90.0,0.97368455
20.0,100.0,0.9730808
20.0,110.0,0.9737233
20.0,120.0,0.99080527
20.0,130.0,1.0050236
20.0,140.0,1.0168579
20.0,150.0,1.0320373
20.0,160.0,1.0726811
20.0,170.0,1.102068
25.0,-179.99999,1.1552747
25.0,-170.0,1.1776806
25.0,-160.0,1.2250457
25.0,-150.0,1.2528833
25.0,-140.0,1.292395
25.0,-130.0,1.354665
25.0,-120.0,1.481912
25.0,-110.0,1.6291236
25.0,-100.0,1.7921994
25.0,-90.0,1.8956329
25.0,-80.0,1.9240724
25.0,-70.0,1.8270888
25.0,-60.0,1.5901396
25.0,-50.0,1.3633611
25.0,-40.0,1.253902
25.0,-30.0,1.2233425
25.0,-20.0,1.1968005
25.0,-10.0,1.1539272
25.0,0.0,1.1497412
25.0,10.0,1.1313981
25.0,20.0,1.1210128
25.0,30.0,1.1254443
25.0,40.0,1.1060491
25.0,50.0,1.0817157
25.0,60.0,1.0659108
25.0,70.0,1.0496488
25.0,80.0,1.0393279
25.0,90.0,1.0215119
25.0,100.0,1.0119882
25.0,110.0,1.0217569
25.0,120.0,1.0280743
25.0,130.0,1.0491865
25.0,140.0,1.0573133
25.0,150.0,1.0775445
25.0,160.0,1.1117322
25.0,170.0,1.141673
30.0,-179.99999,1.2362556
30.0,-170.0,1.3068733
30.0,-160.0,1.3827
30.0,-150.0,1.4229026
30.0,-140.0,1.4993017
30.0,-130.0,1.6299527
30.0,-120.0,1.7755482
30.0,-110.0,1.937742
30.0,-100.0,2.0840366
30.0,-90.0,2.1575148
30.0,-80.0,2.1670303
30.0,-70.0,2.0906885
30.0,-60.0,1.8879011
30.0,-50.0,1.6256981
30.0,-40.0,1.4381651
30.0,-30.0,1.3308873
30.0,-20.0,1.2801876
30.0,-10.0,1.2576675
