lat_deg,lon_deg,h_km,dose_uSvph
-74.0,-10.0,12.0,5.6896486
-74.0,-8.0,12.0,5.848486
-74.0,-6.0,12.0,5.8448553
-74.0,-4.0,12.0,5.747501
-74.0,-2.0,12.0,5.750183
-74.0,0.0,12.0,5.7731895
-74.0,2.0,12.0,5.817121
-74.0,4.0,12.0,5.656857
-74.0,6.0,12.0,5.6835594
-74.0,8.0,12.0,5.723396
-74.0,10.0,12.0,5.736637
-74.0,12.0,12.0,5.884105
-74.0,14.0,12.0,5.9598966
-74.0,16.0,12.0,5.9348845
-74.0,18.0,12.0,5.840459
-74.0,20.0,12.0,5.8321795
-74.0,22.0,12.0,6.0409913
-74.0,24.0,12.0,6.2139106
-74.0,26.0,12.0,6.2762327
-74.0,28.0,12.0,6.0377903
-74.0,30.0,12.0,5.7497854
-74.0,32.0,12.0,5.545002
-74.0,34.0,12.0,5.411257
-74.0,36.0,12.0,5.5329027
-74.0,38.0,12.0,5.6112127
-74.0,40.0,12.0,5.783871
-74.0,42.0,12.0,5.7935715
-74.0,44.0,12.0,5.8693004
-74.0,46.0,12.0,5.9711876
-74.0,48.0,12.0,5.950805
-74.0,50.0,12.0,5.7936454
-74.0,52.0,12.0,5.7136893
-74.0,54.0,12.0,5.62198
-74.0,56.0,12.0,5.5888557
-74.0,58.0,12.0,5.7705793
-74.0,60.0,12.0,5.842401
-74.0,62.0,12.0,5.8700356
-74.0,64.0,12.0,5.9789405
-74.0,66.0,12.0,6.01802
-74.0,68.0,12.0,5.8809495
-74.0,70.0,12.0,5.7672734
-74.0,72.0,12.0,5.855622
-74.0,74.0,12.0,6.0376573
-74.0,76.0,12.0,5.950586
-74.0,78.0,12.0,5.9043417
-74.0,80.0,12.0,5.870098
-74.0,82.0,12.0,5.771252
-74.0,84.0,12.0,5.7521467
-74.0,86.0,12.0,5.8240542
-74.0,88.0,12.0,5.8181863
-74.0,90.0,12.0,5.870896
-74.0,92.0,12.0,5.943576
-74.0,94.0,12.0,6.0538287
-74.0,96.0,12.0,6.0972705
-74.0,98.0,12.0,5.9685025
-74.0,100.0,12.0,5.89107
-74.0,102.0,12.0,6.120523
-74.0,104.0,12.0,6.1722016
-74.0,106.0,12.0,6.0685897
-74.0,108.0,12.0,5.9940863
-74.0,110.0,12.0,5.903727
-74.0,112.0,12.0,5.8771415
-74.0,114.0,12.0,6.0292544
-74.0,116.0,12.0,6.099814
-74.0,118.0,12.0,6.0263457
-74.0,120.0,12.0,5.880861
-74.0,122.0,12.0,5.8537545
-74.0,124.0,12.0,5.882751
-74.0,126.0,12.0,5.942552
-74.0,128.0,12.0,5.857939
-74.0,130.0,12.0,5.8577576
-74.0,132.0,12.0,5.9918523
-74.0,134.0,12.0,6.1958804
-74.0,136.0,12.0,6.2965527
-74.0,138.0,12.0,6.05947
-74.0,140.0,12.0,5.897647
-74.0,142.0,12.0,5.8433366
-74.0,144.0,12.0,5.855931
-74.0,146.0,12.0,5.880444
-74.0,148.0,12.0,5.9383698
-74.0,150.0,12.0,5.934071
-74.0,152.0,12.0,5.8940744
-74.0,154.0,12.0,5.8683233
-74.0,156.0,12.0,6.0453024
-74.0,158.0,12.0,6.0439425
-74.0,160.0,12.0,5.7993813
-74.0,162.0,12.0,5.8179755
-74.0,164.0,12.0,5.8510227
-74.0,166.0,12.0,5.962792
-74.0,168.0,12.0,5.856469
-74.0,170.0,12.0,5.813497
-74.0,172.0,12.0,5.999174
-74.0,174.0,12.0,5.9526916
-74.0,176.0,12.0,5.9027786
-74.0,178.0,12.0,6.03821
-74.0,180.0,12.0,5.9450107
-72.0,-180.0,12.0,6.5565634
-72.0,-178.0,12.0,6.4018717
-72.0,-176.0,12.0,6.3599195
-72.0,-174.0,12.0,6.570907
